Physics,Sections,CFG,mse,var_diff
x0nsdiv2,sec18plus7,2,tensor(24509.4785),129.36325943594122
x0nsdiv2,secincr20,7,tensor(65024.7969),57.53524827244811
x0nsdiv2,sec25,2,tensor(26155.0957),107.88248587626036
x0nsdiv2,sec18plus7,3,tensor(51768.0039),106.12619464782742
x0nsdiv2,secincr20,8,tensor(94637.4844),53.091080893105975
x0nsdiv2,sec9plus6,5,tensor(46914.7266),106.55154892112832
x0nsdiv2,sec9plus6,1,tensor(34814.9609),82.40067695697113
x0nsdiv2,sec18plus7,8,tensor(69007.8047),221.4288663851184
x0nsdiv2,sec20,7,tensor(27475.1758),181.2836801952882
x0nsdiv2,sec15,7,tensor(77395.6562),37.34655386638512
x0nsdiv2,sec20,4,tensor(24988.0508),117.35075631925238
x0nsdiv2,sec15,2,tensor(37828.1875),107.61964674846466
x0nsdiv2,sec25,6,tensor(257414.5312),102.1116700973269
x0nsdiv2,secincr20,2,tensor(25667.7891),108.71610660302578
x0nsdiv2,secincr20,4,tensor(41418.9062),73.73017124160484
x0nsdiv2,sec15,5,tensor(263501.0625),61.079164013705025
x0nsdiv2,sec9plus6,4,tensor(164406.0781),122.51930011630114
x0nsdiv2,secincr20,3,tensor(41169.3633),99.62377942811855
x0nsdiv2,sec15,3,tensor(158375.8750),75.80441820896714
x0nsdiv2,sec25,1,tensor(30641.4648),50.10643705797173
x0nsdiv2,sec25,3,tensor(26620.3652),83.66478415990427
x0nsdiv2,sec25,5,tensor(215991.2969),100.80042948276008
x0nsdiv2,secincr20,5,tensor(45641.4219),107.81952667581706
x0nsdiv2,sec25,7,tensor(50588.0117),38.581858146670925
x0nsdiv2,sec18plus7,5,tensor(53786.9766),170.31960073862209
x0nsdiv2,sec25,8,tensor(69457.6328),61.85473614852857
x0nsdiv2,sec15,8,tensor(51170.1758),30.610935098933872
x0nsdiv2,sec9plus6,3,tensor(181740.0312),101.17635084008026
x0nsdiv2,sec18plus7,6,tensor(50431.4766),190.44365182015733
x0nsdiv2,sec15,4,tensor(43746.3008),60.15554402024566
x0nsdiv2,sec20,8,tensor(113390.5312),168.2210348948681
x0nsdiv2,secincr20,6,tensor(49749.6719),70.61325688705341
x0nsdiv2,sec25,4,tensor(94569.8750),53.65435007698885
x0nsdiv2,sec9plus6,7,tensor(196818.7344),153.02745710297805
x0nsdiv2,sec9plus6,2,tensor(31873.1191),123.68270526573417
x0nsdiv2,sec9plus6,6,tensor(67283.2344),123.90612818526705
x0nsdiv2,sec20,2,tensor(43769.7031),113.91909260229588
x0nsdiv2,sec20,1,tensor(17849.9023),78.45683870881106
x0nsdiv2,sec15,6,tensor(298592.8125),36.18214511828165
x0nsdiv2,sec20,5,tensor(78146.6094),154.31559242949652
x0nsdiv2,sec18plus7,4,tensor(47765.1445),180.28214904591744
x0nsdiv2,sec18plus7,7,tensor(151225.5469),182.2820998364954
x0nsdiv2,secincr20,1,tensor(19996.0703),92.12087938784474
x0nsdiv2,sec18plus7,1,tensor(45541.3672),80.05991137993719
x0nsdiv2,sec9plus6,8,tensor(289406.3750),116.01512731066003
x0nsdiv2,sec15,1,tensor(80019.6094),85.14650005514993
x0nsdiv2,sec20,6,tensor(46366.7500),192.25881768740805
x0nsdiv2,sec20,3,tensor(22037.6328),133.30174797614163
x0nsdiv2,sec18plus7,2,tensor(41165.8047),3.6812236633300763
x0nsdiv2,secincr20,7,tensor(27493.2441),9.60814670715332
x0nsdiv2,sec25,2,tensor(58417.0938),2.438283651733393
x0nsdiv2,sec18plus7,3,tensor(26546.0859),14.027437393188467
x0nsdiv2,secincr20,8,tensor(34464.2227),6.547802172851558
x0nsdiv2,sec9plus6,5,tensor(31857.8047),2.1052389953613293
x0nsdiv2,sec9plus6,1,tensor(50975.2383),10.920853280639651
x0nsdiv2,sec18plus7,8,tensor(35398.8906),18.368847583007824
x0nsdiv2,sec20,7,tensor(44215.1953),14.143477929687496
x0nsdiv2,sec15,7,tensor(41642.5312),27.58298845825195
x0nsdiv2,sec20,4,tensor(30036.2344),7.127756579589846
x0nsdiv2,sec15,2,tensor(51221.1562),10.842404693603509
x0nsdiv2,sec25,6,tensor(35212.5039),23.04633991088868
x0nsdiv2,secincr20,2,tensor(45100.4961),0.6449299041748127
x0nsdiv2,secincr20,4,tensor(33220.1328),0.9892667266845621
x0nsdiv2,sec15,5,tensor(35135.1758),7.951565206909169
x0nsdiv2,sec9plus6,4,tensor(34061.9062),1.0804498779296878
x0nsdiv2,secincr20,3,tensor(25945.1289),0.4146740539550855
x0nsdiv2,sec15,3,tensor(31910.6152),12.03658834228516
x0nsdiv2,sec25,1,tensor(37539.0391),3.4838091064453067
x0nsdiv2,sec25,3,tensor(26080.7344),1.6697150573730397
x0nsdiv2,sec25,5,tensor(38506.9609),6.521705752563474
x0nsdiv2,secincr20,5,tensor(29186.3145),7.96759786682129
x0nsdiv2,sec25,7,tensor(33924.0703),18.30700188903808
x0nsdiv2,sec18plus7,5,tensor(34865.1172),11.294312429809569
x0nsdiv2,sec25,8,tensor(36369.8711),26.250575012207012
x0nsdiv2,sec15,8,tensor(44902.9102),37.806524856567364
x0nsdiv2,sec9plus6,3,tensor(28270.3984),8.891367102050776
x0nsdiv2,sec18plus7,6,tensor(30144.0605),10.100457424926756
x0nsdiv2,sec15,4,tensor(42481.1523),17.468598727416985
x0nsdiv2,sec20,8,tensor(44547.2852),28.61255031738281
x0nsdiv2,secincr20,6,tensor(36604.7734),7.000883065795886
x0nsdiv2,sec25,4,tensor(30388.4062),13.079612142944338
x0nsdiv2,sec9plus6,7,tensor(28831.3320),6.117691848754877
x0nsdiv2,sec9plus6,2,tensor(41358.6211),16.34718440856933
x0nsdiv2,sec9plus6,6,tensor(35430.9609),6.419750537109369
x0nsdiv2,sec20,2,tensor(32758.0195),18.00719910583496
x0nsdiv2,sec20,1,tensor(35291.3984),17.326426702880863
x0nsdiv2,sec15,6,tensor(44394.4180),27.454882711792
x0nsdiv2,sec20,5,tensor(31709.0840),11.107309277343742
x0nsdiv2,sec18plus7,4,tensor(37681.4258),9.611731671142568
x0nsdiv2,sec18plus7,7,tensor(35292.4492),22.669764840698225
x0nsdiv2,secincr20,1,tensor(51250.7930),13.494009323120114
x0nsdiv2,sec18plus7,1,tensor(60982.5469),27.802192834472645
x0nsdiv2,sec9plus6,8,tensor(36492.4258),10.450211376953131
x0nsdiv2,sec15,1,tensor(54213.2266),2.0963061187744145
x0nsdiv2,sec20,6,tensor(32531.1152),10.504589022827151
x0nsdiv2,sec20,3,tensor(22061.5000),5.513389596557605
x0nsdiv2,sec18plus7,2,tensor(76758.1250),583.1774406067681
x0nsdiv2,secincr20,7,tensor(9953.5645),358.85614232925616
x0nsdiv2,sec25,2,tensor(36101.1602),218.50926967304682
x0nsdiv2,sec18plus7,3,tensor(67587.4297),322.96140694449423
x0nsdiv2,secincr20,8,tensor(4225.5737),322.80710223991144
x0nsdiv2,sec9plus6,5,tensor(16562.8926),446.3400970547957
x0nsdiv2,sec9plus6,1,tensor(44390.3203),335.1351326303352
x0nsdiv2,sec18plus7,8,tensor(216.2993),153.15025670863056
x0nsdiv2,sec20,7,tensor(6649.2988),252.03359115327316
x0nsdiv2,sec15,7,tensor(4373.1416),287.0771913667462
x0nsdiv2,sec20,4,tensor(48187.2305),242.31949603721432
x0nsdiv2,sec15,2,tensor(46365.9766),444.60298729340076
x0nsdiv2,sec25,6,tensor(17911.6777),249.466844964653
x0nsdiv2,secincr20,2,tensor(40308.3203),367.84396919654046
x0nsdiv2,secincr20,4,tensor(50350.0352),521.6557474958553
x0nsdiv2,sec15,5,tensor(9001.4580),286.02701580996126
x0nsdiv2,sec9plus6,4,tensor(32887.9609),505.66702048712
x0nsdiv2,secincr20,3,tensor(45744.3984),225.1868807130533
x0nsdiv2,sec15,3,tensor(53586.2578),372.49626856831304
x0nsdiv2,sec25,1,tensor(54476.9648),240.5647572458212
x0nsdiv2,sec25,3,tensor(42437.0078),257.1566134083028
x0nsdiv2,sec25,5,tensor(20796.3633),243.60843304781454
x0nsdiv2,secincr20,5,tensor(42116.6055),401.1321140020801
x0nsdiv2,sec25,7,tensor(5010.3594),192.80409935979432
x0nsdiv2,sec18plus7,5,tensor(14243.0195),293.1627344769371
x0nsdiv2,sec25,8,tensor(3607.1506),147.08229061763817
x0nsdiv2,sec15,8,tensor(26.2406),125.48717991623566
x0nsdiv2,sec9plus6,3,tensor(58031.3125),402.8535431175121
x0nsdiv2,sec18plus7,6,tensor(1276.6372),251.6825313035869
x0nsdiv2,sec15,4,tensor(43432.2266),447.20987361096087
x0nsdiv2,sec20,8,tensor(3456.5703),256.3260766934574
x0nsdiv2,secincr20,6,tensor(15889.6455),471.2484153102508
x0nsdiv2,sec25,4,tensor(28476.5566),284.96836439305076
x0nsdiv2,sec9plus6,7,tensor(6351.9697),278.1562122120951
x0nsdiv2,sec9plus6,2,tensor(90044.4219),470.1519500211297
x0nsdiv2,sec9plus6,6,tensor(20614.2871),430.69470784267946
x0nsdiv2,sec20,2,tensor(37383.8047),306.13800744084904
x0nsdiv2,sec20,1,tensor(49146.9531),290.7417609084899
x0nsdiv2,sec15,6,tensor(8073.6392),312.08529945255964
x0nsdiv2,sec20,5,tensor(54366.1133),371.58335700426335
x0nsdiv2,sec18plus7,4,tensor(9328.0547),317.5009815767376
x0nsdiv2,sec18plus7,7,tensor(162.8725),110.43407228240267
x0nsdiv2,secincr20,1,tensor(24226.8262),231.3537764733953
x0nsdiv2,sec18plus7,1,tensor(100114.0078),422.3971946999114
x0nsdiv2,sec9plus6,8,tensor(595.1791),151.67243667723292
x0nsdiv2,sec15,1,tensor(60526.2148),351.1362311932407
x0nsdiv2,sec20,6,tensor(12129.5547),295.3212679823654
x0nsdiv2,sec20,3,tensor(34790.5000),310.220269015311
x0nsdiv2,sec18plus7,2,tensor(25530.4590),68.0430817673695
x0nsdiv2,secincr20,7,tensor(1870.7241),107.96295463103999
x0nsdiv2,sec25,2,tensor(33550.8789),53.79070580308666
x0nsdiv2,sec18plus7,3,tensor(46698.3867),32.95671457854912
x0nsdiv2,secincr20,8,tensor(5133.5308),35.95011744233581
x0nsdiv2,sec9plus6,5,tensor(31822.5273),121.54643164511432
x0nsdiv2,sec9plus6,1,tensor(77485.8047),88.6549991754147
x0nsdiv2,sec18plus7,8,tensor(1646.8977),89.10166201635332
x0nsdiv2,sec20,7,tensor(348.9133),147.56344936240873
x0nsdiv2,sec15,7,tensor(217.2426),269.651647358343
x0nsdiv2,sec20,4,tensor(17345.7070),109.20608056719848
x0nsdiv2,sec15,2,tensor(84182.9141),65.28489369814817
x0nsdiv2,sec25,6,tensor(12645.7441),87.03306639007518
x0nsdiv2,secincr20,2,tensor(20197.8789),105.34242175088308
x0nsdiv2,secincr20,4,tensor(945.9827),112.70788806937979
x0nsdiv2,sec15,5,tensor(3560.7214),204.32152256571067
x0nsdiv2,sec9plus6,4,tensor(30836.0488),60.7731172634886
x0nsdiv2,secincr20,3,tensor(131.3802),124.19975113236887
x0nsdiv2,sec15,3,tensor(18512.6484),108.38600314662803
x0nsdiv2,sec25,1,tensor(29116.4922),44.607735220711575
x0nsdiv2,sec25,3,tensor(47955.6562),31.22244008519702
x0nsdiv2,sec25,5,tensor(27695.2109),71.32632941436356
x0nsdiv2,secincr20,5,tensor(3629.0872),78.85224705763675
x0nsdiv2,sec25,7,tensor(4935.9507),106.2268673539355
x0nsdiv2,sec18plus7,5,tensor(10775.6074),69.08635736014662
x0nsdiv2,sec25,8,tensor(20644.7051),98.09672354929765
x0nsdiv2,sec15,8,tensor(302.5524),258.85513047362224
x0nsdiv2,sec9plus6,3,tensor(95752.2812),45.7497663399927
x0nsdiv2,sec18plus7,6,tensor(9778.6465),51.321097968654925
x0nsdiv2,sec15,4,tensor(44961.2578),150.92060238068137
x0nsdiv2,sec20,8,tensor(178.5806),140.48794231342586
x0nsdiv2,secincr20,6,tensor(1640.2451),64.43072097968127
x0nsdiv2,sec25,4,tensor(22971.6504),74.1322746957683
x0nsdiv2,sec9plus6,7,tensor(12541.8223),52.86301259133158
x0nsdiv2,sec9plus6,2,tensor(57779.4883),56.028072738853766
x0nsdiv2,sec9plus6,6,tensor(29533.4746),116.34599503908625
x0nsdiv2,sec20,2,tensor(65523.7969),71.7190518747993
x0nsdiv2,sec20,1,tensor(37077.0195),42.469461419377346
x0nsdiv2,sec15,6,tensor(347.6687),241.33016610442144
x0nsdiv2,sec20,5,tensor(22333.1465),204.15023239243027
x0nsdiv2,sec18plus7,4,tensor(35752.3398),42.133592043392326
x0nsdiv2,sec18plus7,7,tensor(22110.5059),69.53626514886635
x0nsdiv2,secincr20,1,tensor(16408.4531),59.667255085954935
x0nsdiv2,sec18plus7,1,tensor(26972.5664),63.292586933670336
x0nsdiv2,sec9plus6,8,tensor(7185.5352),76.35454233766826
x0nsdiv2,sec15,1,tensor(88746.9062),60.33934790950134
x0nsdiv2,sec20,6,tensor(13275.9385),194.06299603855757
x0nsdiv2,sec20,3,tensor(10172.2871),121.82765810086059
x0nsdiv2,sec18plus7,2,tensor(186319.4844),228.25147314136527
x0nsdiv2,secincr20,7,tensor(429630.3125),472.85072391103455
x0nsdiv2,sec25,2,tensor(442386.2188),338.1508157096483
x0nsdiv2,sec18plus7,3,tensor(109143.9688),317.50453045903424
x0nsdiv2,secincr20,8,tensor(634185.8750),513.4199412815154
x0nsdiv2,sec9plus6,5,tensor(412376.1562),151.8827355681093
x0nsdiv2,sec9plus6,1,tensor(77385.3672),440.5179123424349
x0nsdiv2,sec18plus7,8,tensor(50991.9062),22.46647124171527
x0nsdiv2,sec20,7,tensor(722420.1250),49.05721024969537
x0nsdiv2,sec15,7,tensor(95665.9844),371.22285646862457
x0nsdiv2,sec20,4,tensor(625482.7500),84.23993403030362
x0nsdiv2,sec15,2,tensor(54682.9336),277.0579674422336
x0nsdiv2,sec25,6,tensor(358747.0625),432.9101662008671
x0nsdiv2,secincr20,2,tensor(341777.8125),395.7929705340846
x0nsdiv2,secincr20,4,tensor(443026.8125),455.9909760481646
x0nsdiv2,sec15,5,tensor(371772.4375),495.7081646746248
x0nsdiv2,sec9plus6,4,tensor(918227.),133.41977163885727
x0nsdiv2,secincr20,3,tensor(814161.5000),433.5502133326196
x0nsdiv2,sec15,3,tensor(382566.3125),378.8254251847732
x0nsdiv2,sec25,1,tensor(121324.2109),389.16219848840416
x0nsdiv2,sec25,3,tensor(691316.6250),280.1332335893799
x0nsdiv2,sec25,5,tensor(583511.6250),397.86026883828134
x0nsdiv2,secincr20,5,tensor(613157.9375),571.5575109728339
x0nsdiv2,sec25,7,tensor(581261.8125),486.35680507802635
x0nsdiv2,sec18plus7,5,tensor(60438.0547),236.67160037964106
x0nsdiv2,sec25,8,tensor(888751.1875),307.6408673824908
x0nsdiv2,sec15,8,tensor(788231.5000),406.6829644633529
x0nsdiv2,sec9plus6,3,tensor(216327.0938),256.9237983534936
x0nsdiv2,sec18plus7,6,tensor(581306.6875),63.494647225014475
x0nsdiv2,sec15,4,tensor(369183.2188),411.7248909262574
x0nsdiv2,sec20,8,tensor(1353867.3750),16.40778309958322
x0nsdiv2,secincr20,6,tensor(619972.5625),369.1330051541059
x0nsdiv2,sec25,4,tensor(300829.3125),320.96239756564705
x0nsdiv2,sec9plus6,7,tensor(132405.9375),33.318777590381856
x0nsdiv2,sec9plus6,2,tensor(23244.2324),253.29205805590365
x0nsdiv2,sec9plus6,6,tensor(822439.5625),58.9614864779708
x0nsdiv2,sec20,2,tensor(356951.6562),149.5212769205608
x0nsdiv2,sec20,1,tensor(55084.0312),411.1695448589974
x0nsdiv2,sec15,6,tensor(1015226.1250),266.79546563046864
x0nsdiv2,sec20,5,tensor(1167024.7500),76.58927520764928
x0nsdiv2,sec18plus7,4,tensor(92063.6016),195.21075662085255
x0nsdiv2,sec18plus7,7,tensor(350655.9062),153.50923070669717
x0nsdiv2,secincr20,1,tensor(562360.8750),437.15679211302944
x0nsdiv2,sec18plus7,1,tensor(809714.8750),226.49248403648667
x0nsdiv2,sec9plus6,8,tensor(41545.5938),37.44120633412921
x0nsdiv2,sec15,1,tensor(846238.1250),434.81818359617205
x0nsdiv2,sec20,6,tensor(772980.8750),66.4182274098299
x0nsdiv2,sec20,3,tensor(469869.9062),262.82646973062805
nophys,sec9plus6,3,tensor(4534.8247),57.81812955373658
nophys,sec25,2,tensor(1356.5707),47.27734830207877
nophys,sec9plus6,2,tensor(5597.3486),46.41207212946328
nophys,sec20,5,tensor(316.5995),24.367290111729982
nophys,sec9plus6,5,tensor(6696.6152),59.908038179493424
nophys,secincr20,7,tensor(2002.1628),70.22757025011096
nophys,sec20,6,tensor(119.6989),26.328107323566677
nophys,sec15,4,tensor(3998.8530),46.83699311255977
nophys,sec18plus7,5,tensor(1278.0460),44.020329721916205
nophys,sec25,8,tensor(3011.8057),75.48880782673507
nophys,secincr20,4,tensor(5444.1055),47.96107317128836
nophys,sec20,4,tensor(383.4147),31.8800611655709
nophys,sec18plus7,4,tensor(1410.6166),44.65957507594995
nophys,secincr20,1,tensor(1445.8140),45.02570629335733
nophys,sec25,1,tensor(1056.7688),46.28403355817333
nophys,sec18plus7,3,tensor(3141.2976),44.95768427643748
nophys,sec15,8,tensor(1928.7819),57.51135563364716
nophys,sec15,6,tensor(1706.1116),58.4200860813982
nophys,secincr20,3,tensor(2404.5464),45.916265063719706
nophys,sec9plus6,8,tensor(2511.8396),79.49234200819092
nophys,sec15,7,tensor(2202.9705),50.79265341320529
nophys,sec20,8,tensor(76.5760),14.869131140926942
nophys,sec18plus7,7,tensor(1250.0847),44.39860238333858
nophys,sec25,7,tensor(3921.0562),58.230187419098726
nophys,sec25,3,tensor(3340.8501),51.15065203451257
nophys,sec15,5,tensor(1941.8733),42.14258722915753
nophys,sec20,1,tensor(494.3981),39.26314659688526
nophys,sec9plus6,1,tensor(1464.0486),48.649094070013206
nophys,sec25,6,tensor(6534.8369),76.52680842830024
nophys,sec20,3,tensor(969.5464),38.02546256718564
nophys,sec18plus7,8,tensor(909.3159),49.03818119959144
nophys,secincr20,5,tensor(2675.2632),47.50594895908119
nophys,sec20,7,tensor(52.2247),17.62470847354749
nophys,sec25,4,tensor(2676.8096),48.78518859117265
nophys,secincr20,8,tensor(2874.9761),65.54180746566337
nophys,sec9plus6,7,tensor(2714.4041),71.16274080151288
nophys,sec9plus6,4,tensor(2810.4321),63.34570080406151
nophys,sec25,5,tensor(5784.4023),59.33100054608367
nophys,sec15,2,tensor(1971.1139),49.23578333994985
nophys,sec18plus7,2,tensor(618.2252),50.70957031526302
nophys,secincr20,6,tensor(2111.7905),54.41578012572635
nophys,secincr20,2,tensor(2398.4297),41.149331531032495
nophys,sec9plus6,6,tensor(5018.9375),72.81151764896886
nophys,sec15,1,tensor(348.7187),38.32121544868603
nophys,sec20,2,tensor(1138.1152),39.58537537698672
nophys,sec15,3,tensor(1529.0542),46.96695956864362
nophys,sec18plus7,1,tensor(1112.4952),52.7665935911815
nophys,sec18plus7,6,tensor(2019.4429),67.91575203270006
nophys,sec9plus6,3,tensor(53083.5781),2.504169073486324
nophys,sec25,2,tensor(49628.7695),3.607800366210938
nophys,sec9plus6,2,tensor(51892.5781),0.4639725708007738
